price_bins,model_year,cylinders,wheels_size,time_owned,per_year_cost,per_kkm_cost,car_type_suv,car_interior_rare,fuel_type_id,mileage_distribution_id,premium_manufacturers,car_location_Dubai
3,2016,4,16,0,8142,713,0,0,1,0,0,1.0
3,2019,4,17,0,14000,625,1,0,1,0,0,1.0
5,2022,6,16,1,141000,141000,0,1,1,1,0,1.0
2,2018,4,16,0,8400,248,0,0,1,0,0,1.0
6,2019,6,21,0,46000,1769,1,0,1,0,0,1.0
5,2016,8,20,0,16714,615,0,0,1,0,1,1.0
6,2022,6,18,1,169000,8894,1,1,1,1,0,1.0
6,2023,6,16,1,157000,157000,1,0,1,1,0,1.0
6,2019,6,20,0,47250,1916,1,0,1,0,0,1.0
7,2022,6,20,1,275000,275000,0,1,1,1,0,1.0
2,2019,4,16,0,9500,200,1,0,1,0,0,1.0
8,2022,6,18,1,318000,318000,0,0,2,1,0,1.0
7,2018,8,19,0,46000,3112,0,0,1,0,1,1.0
6,2023,4,17,1,159000,159000,1,0,2,1,0,1.0
5,2023,4,18,1,148000,148000,1,1,1,1,0,1.0
10,2022,12,22,1,1965000,1965000,1,1,1,1,1,1.0
8,2022,6,18,1,349000,349000,0,1,2,1,0,1.0
3,2020,4,15,0,22000,763,0,1,1,0,0,1.0
4,2019,4,19,0,22000,500,1,0,1,0,0,1.0
6,2019,8,20,0,47000,5696,1,1,1,1,1,1.0
8,2022,6,20,1,435000,143801,0,0,1,1,1,1.0
5,2019,6,19,0,29750,796,1,0,1,0,0,1.0
2,2019,4,16,0,9750,393,1,0,1,0,0,1.0
5,2019,4,18,0,28500,1375,0,1,1,0,0,1.0
3,2017,4,16,0,11500,1385,0,0,1,1,0,1.0
10,2023,12,22,1,2600000,2600000,1,1,1,1,1,1.0
4,2018,4,18,0,15200,1956,0,0,1,1,1,1.0
3,2019,4,17,0,14000,633,0,0,1,0,0,1.0
5,2021,6,19,0,65000,8666,1,0,1,1,1,1.0
5,2022,4,18,1,100000,100000,1,0,1,1,0,1.0
2,2018,4,17,0,9800,411,1,0,1,0,0,1.0
8,2023,8,22,1,399000,399000,1,0,1,1,1,1.0
2,2017,4,16,0,6833,303,0,1,1,0,0,1.0
4,2016,6,20,0,14000,706,0,1,1,0,1,1.0
3,2019,4,16,0,12750,518,0,1,1,0,0,1.0
5,2023,4,18,1,119000,119000,1,0,1,1,0,1.0
4,2014,8,20,0,9111,641,1,0,1,0,1,1.0
5,2020,4,19,0,36333,2028,1,1,1,0,0,1.0
8,2023,6,22,1,337000,337000,1,0,1,1,1,1.0
10,2021,12,20,0,982500,763403,0,1,1,1,1,1.0
6,2018,8,23,0,39600,3882,0,0,1,0,1,1.0
5,2023,4,18,1,106000,106000,0,0,2,1,0,1.0
5,2022,4,18,1,100000,100000,1,0,1,1,0,1.0
10,2023,8,23,1,1430000,1430000,1,0,1,1,1,1.0
3,2020,4,16,0,23000,1283,1,0,1,0,0,1.0
7,2019,8,17,0,74750,4333,0,1,1,0,1,1.0
8,2017,8,20,0,59666,3650,0,1,1,0,1,1.0
3,2017,4,15,0,10666,906,0,1,1,0,0,1.0
7,2021,4,20,0,117500,14687,1,1,1,1,1,1.0
9,2022,8,21,1,589000,79594,0,1,1,1,1,1.0
5,2009,8,25,0,10214,794,1,1,1,0,1,0.0
2,2018,4,17,0,8400,293,0,0,1,0,0,1.0
7,2021,8,17,0,119500,9958,0,1,1,1,1,1.0
4,2019,4,20,0,18000,745,0,0,1,0,0,1.0
8,2023,8,22,1,439000,439000,1,0,1,1,1,1.0
9,2022,8,20,1,510000,510000,0,0,1,1,0,1.0
4,2018,8,20,0,19600,612,0,0,1,0,0,1.0
4,2018,4,18,0,15600,2201,0,0,1,1,1,1.0
8,2024,4,19,1,-475000,475000,0,1,1,1,1,1.0
3,2018,4,17,0,12600,1066,0,0,1,0,0,1.0
3,2020,4,17,0,22333,989,0,0,1,0,0,1.0
3,2019,4,17,0,17000,1227,0,0,1,0,0,1.0
7,2019,8,22,0,60000,2242,1,1,1,0,1,1.0
7,2019,4,20,0,57250,2792,1,0,1,0,1,1.0
8,2020,8,21,0,116666,4719,1,1,1,0,1,1.0
8,2023,6,20,1,346000,346000,1,0,1,1,0,1.0
3,2020,4,17,0,17000,374,0,0,1,0,0,1.0
6,2017,6,19,0,33166,2219,1,0,1,0,1,1.0
2,2014,4,17,0,5111,329,1,0,1,0,0,1.0
9,2022,6,21,1,779000,82872,0,1,1,1,1,1.0
6,2023,8,17,1,165000,165000,0,0,1,1,0,1.0
3,2019,4,17,0,14250,780,1,0,1,0,0,1.0
6,2023,6,17,1,195000,195000,0,0,2,1,0,1.0
3,2016,4,17,0,9571,505,1,1,1,0,0,1.0
4,2015,4,17,0,10750,1157,1,1,1,0,1,1.0
3,2020,4,17,0,18666,448,0,1,1,0,0,1.0
8,2020,4,21,0,116333,4034,1,0,1,0,1,1.0
7,2017,8,21,0,46500,1847,1,1,1,0,1,1.0
6,2023,6,20,1,187000,187000,1,0,1,1,0,1.0
9,2021,8,21,0,385000,9871,1,1,1,0,1,1.0
9,2023,8,21,1,620000,620000,0,0,1,1,1,1.0
10,2023,12,22,1,2699000,2699000,1,1,1,1,1,1.0
9,2021,6,21,0,300000,600000,0,1,1,1,1,1.0
6,2019,6,22,0,44750,1563,1,0,1,0,0,1.0
9,2020,12,22,0,273333,68333,0,1,1,1,1,1.0
8,2023,4,20,1,389000,389000,1,0,1,1,1,1.0
6,2019,6,18,0,49000,2949,1,0,1,0,0,1.0
2,2019,4,16,0,10250,297,1,0,1,0,0,1.0
5,2018,4,18,0,25800,600,1,1,1,0,0,1.0
9,2023,6,22,1,720000,720000,0,1,1,1,1,1.0
9,2023,6,23,1,680000,680000,1,0,1,1,1,1.0
3,2019,4,17,0,13500,693,1,0,1,0,0,1.0
3,2020,6,19,0,17333,717,0,1,1,0,0,1.0
2,2014,4,17,0,4444,269,0,0,1,0,1,1.0
7,2023,8,22,1,289000,41285,1,1,1,1,0,0.0
5,2015,8,22,0,17375,7354,1,1,1,1,0,1.0
9,2023,8,23,1,790000,790000,1,1,1,1,1,1.0
9,2008,12,20,0,39333,15526,0,1,1,1,1,1.0
7,2018,8,20,0,43000,1806,0,1,1,0,1,1.0
7,2023,6,20,1,279000,279000,1,0,1,1,0,1.0
3,2017,8,20,0,10333,2254,1,0,1,1,0,1.0
5,2021,6,18,0,63500,4379,1,1,1,1,0,1.0
4,2023,4,17,1,87000,87000,1,0,2,1,0,1.0
9,2023,8,23,1,799000,799000,1,1,1,1,1,1.0
5,2021,6,19,0,56000,3862,1,1,1,1,0,0.0
5,2017,6,22,0,23166,1103,1,1,1,0,1,1.0
4,2015,6,17,0,9125,675,1,0,1,0,0,0.0
7,2023,6,19,1,295000,12826,0,0,1,1,1,1.0
8,2023,6,21,1,449000,449000,1,1,1,1,1,1.0
3,2019,4,17,0,14000,623,1,0,1,0,0,1.0
5,2024,4,16,1,-124000,124000,1,0,1,1,0,1.0
2,2014,6,20,0,4666,289,0,1,1,0,0,1.0
9,2023,6,21,1,618000,618000,1,1,1,1,1,1.0
8,2020,8,20,0,106666,10322,0,0,1,1,1,1.0
5,2023,4,18,1,124000,124000,1,0,1,1,0,1.0
5,2018,6,18,0,24600,745,1,0,1,0,0,0.0
5,2019,6,18,0,35500,1245,1,0,1,0,0,1.0
3,2020,4,17,0,17666,3579,1,0,1,1,0,0.0
9,2023,6,22,1,739000,739000,1,1,1,1,1,1.0
9,2022,6,21,1,625000,104166,0,1,1,1,1,1.0
7,2021,6,18,0,129500,12950,1,0,1,1,0,1.0
4,2016,6,17,0,13857,373,1,0,1,0,0,1.0
7,2022,6,19,1,219000,18024,0,0,1,1,0,1.0
6,2022,6,20,1,188000,9894,1,1,1,1,1,1.0
9,2023,8,23,1,740000,67272,1,1,1,1,1,1.0
3,2014,4,16,0,6444,527,0,0,1,0,1,1.0
6,2018,8,21,0,38200,3237,0,0,1,0,1,0.0
2,2016,4,18,0,5571,195,1,1,1,0,1,1.0
6,2020,6,20,0,66333,1851,1,1,1,0,1,1.0
9,2023,6,21,1,600000,600000,0,1,1,1,1,1.0
2,2011,8,20,0,3083,276,0,1,1,0,1,1.0
5,2019,4,20,0,31500,1355,1,1,1,0,0,1.0
9,2023,8,23,1,970000,970000,1,1,1,1,1,1.0
10,2023,12,22,1,2500000,2500000,1,1,1,1,1,1.0
9,2018,12,21,0,104000,27368,1,1,1,1,1,1.0
6,2020,8,18,0,66000,6600,1,0,1,1,0,1.0
7,2021,8,20,0,139500,2325,1,0,1,0,0,1.0
9,2022,8,23,1,795000,81122,1,1,1,1,1,1.0
5,2022,8,16,1,143000,6500,0,1,1,1,0,1.0
2,2021,3,17,0,22000,1191,0,1,1,1,0,1.0
2,2015,4,17,0,5750,324,0,0,1,0,0,1.0
3,2020,4,17,0,18333,774,1,0,1,0,0,1.0
3,2020,4,17,0,19666,741,1,0,1,0,0,1.0
3,2021,4,17,0,33500,1415,0,0,1,1,0,1.0
7,2020,8,17,0,78333,2795,1,0,1,0,0,1.0
5,2021,6,17,0,57000,2780,0,0,1,1,1,1.0
4,2021,4,17,0,35500,1426,0,0,1,1,0,1.0
9,2019,8,20,0,212250,15066,1,1,1,0,1,1.0
7,2018,8,17,0,42000,2209,1,0,1,0,0,1.0
3,2019,4,17,0,15000,1090,1,0,1,0,0,1.0
3,2016,4,17,0,7571,1143,0,0,1,1,0,1.0
2,2015,4,17,0,4750,431,0,0,1,0,0,1.0
2,1999,6,17,0,1916,103,0,0,1,0,0,1.0
5,2019,6,17,0,26250,2127,0,1,1,1,0,1.0
3,2020,4,17,0,23000,1629,1,0,1,1,0,1.0
3,2019,4,17,0,14500,856,1,0,1,0,0,1.0
3,2019,4,17,0,15000,1428,1,1,1,1,0,1.0
7,2020,6,17,0,91666,5688,1,0,1,1,1,1.0
4,2019,4,17,0,21500,1183,1,1,1,0,0,1.0
3,2019,4,17,0,13750,659,1,0,1,0,0,1.0
5,2018,6,17,0,25200,1793,1,0,1,0,0,1.0
3,2017,4,17,0,10500,648,1,0,1,0,0,1.0
5,2023,4,18,1,148000,148000,0,0,1,1,0,1.0
6,2021,4,17,0,92500,4459,1,0,1,1,1,1.0
5,2019,4,17,0,33000,1657,1,0,1,0,1,1.0
4,2017,4,19,0,16500,779,0,1,1,0,1,1.0
2,2019,4,17,0,11750,2489,1,0,1,1,0,1.0
2,2019,4,18,0,12000,865,1,0,1,0,0,1.0
3,2021,4,17,0,31500,617,1,1,1,0,0,0.0
5,2020,6,17,0,44333,3479,1,0,1,1,0,1.0
2,2020,4,16,0,15000,1406,1,0,1,1,0,0.0
9,2022,8,22,1,849000,49941,1,1,1,1,1,1.0
2,2019,4,16,0,12250,499,1,0,1,0,0,1.0
5,2020,8,20,0,41666,1785,0,0,1,0,0,0.0
3,2020,6,20,0,21666,1066,0,1,1,0,0,1.0
2,2020,4,18,0,14333,728,0,0,1,0,0,1.0
5,2019,8,21,0,27500,4074,0,1,1,1,0,0.0
10,2022,12,20,1,2249000,985107,0,0,1,1,1,1.0
6,2021,6,20,0,77500,155000,0,0,1,1,0,0.0
4,2023,4,20,1,73000,73000,1,1,1,1,0,1.0
2,2018,4,16,0,8400,391,1,0,1,0,0,0.0
8,2023,6,23,1,482000,482000,1,1,1,1,1,1.0
7,2021,4,19,0,122500,4016,0,1,1,0,1,1.0
2,2020,4,17,0,12666,2173,0,0,1,1,0,1.0
6,2021,6,20,0,77500,62000,0,0,1,1,0,0.0
5,2023,4,18,1,147000,147000,0,0,1,1,0,1.0
3,2018,4,17,0,11000,378,0,1,1,0,0,0.0
10,2021,12,22,0,875000,64102,1,1,1,1,1,1.0
7,2019,6,22,0,67000,3828,1,0,1,0,1,1.0
2,2020,4,17,0,16000,2357,1,0,1,1,0,1.0
3,2019,4,16,0,12500,493,1,0,1,0,0,0.0
6,2023,4,18,1,155000,155000,0,0,1,1,0,1.0
5,2021,4,17,0,61000,8116,0,0,1,1,1,1.0
4,2018,8,19,0,15400,592,0,0,1,0,0,1.0
2,2020,4,16,0,12666,841,0,0,1,1,0,1.0
7,2023,4,19,1,249000,83000,0,1,1,1,1,1.0
2,2020,4,18,0,12666,1126,1,0,1,1,0,1.0
9,2023,8,23,1,698000,698000,1,1,2,1,1,1.0
5,2014,8,22,0,11666,681,1,1,1,0,1,1.0
6,2020,6,20,0,66333,2746,0,0,1,0,1,1.0
9,2021,6,20,0,369500,87043,0,0,1,1,1,1.0
4,2015,4,20,0,9375,576,0,0,1,0,1,0.0
6,2018,8,23,0,39800,1442,0,1,1,0,1,0.0
8,2023,6,20,1,394000,394000,1,1,1,1,0,1.0
8,2022,4,22,1,399000,399000,1,0,2,1,1,1.0
2,2020,4,17,0,15000,560,0,0,1,0,0,1.0
5,2023,6,16,1,149000,149000,1,1,1,1,0,1.0
2,2020,4,16,0,15333,364,0,0,1,0,0,0.0
5,2017,4,20,0,18166,1424,1,1,1,0,1,1.0
6,2023,4,17,1,168000,168000,1,0,1,1,0,1.0
9,2022,12,19,1,888000,888000,0,0,1,1,1,1.0
5,2017,4,20,0,19666,907,1,0,1,0,1,1.0
2,2014,6,19,0,4333,291,1,1,1,0,1,1.0
6,2023,8,16,1,175000,175000,1,0,1,1,0,1.0
3,2021,4,17,0,34000,2925,0,0,1,1,0,1.0
5,2023,4,18,1,147000,147000,0,0,1,1,0,1.0
2,2014,6,18,0,4444,179,0,0,1,0,1,1.0
7,2020,6,22,0,92666,2673,1,0,1,0,1,1.0
10,2020,12,20,0,609666,128866,0,1,1,1,1,1.0
8,2023,6,20,1,390000,305403,1,0,1,1,1,1.0
7,2022,6,20,1,290000,290000,1,0,1,1,0,1.0
7,2020,6,21,0,76333,4872,0,1,1,1,1,1.0
3,2021,4,15,0,29500,430,0,1,1,0,0,1.0
8,2022,8,22,1,400000,400000,1,0,1,1,1,1.0
3,2020,4,17,0,21333,733,1,1,1,0,0,1.0
6,2023,6,17,1,188000,188000,0,1,1,1,0,1.0
4,2004,8,21,0,4631,606,1,1,1,0,1,1.0
10,2022,12,22,1,1750000,583333,1,1,1,1,1,1.0
9,2023,8,23,1,762000,762000,1,1,2,1,1,1.0
8,2022,8,22,1,490000,22972,1,1,1,1,1,1.0
4,2018,4,19,0,15000,833,0,0,1,0,1,1.0
2,2013,8,19,0,4500,200,0,1,1,0,1,1.0
9,2023,8,23,1,835000,835000,1,1,1,1,1,1.0
7,2016,8,20,0,34142,5690,1,1,1,1,1,1.0
9,2022,8,22,1,830000,170781,1,1,1,1,1,1.0
7,2020,6,20,0,76333,8178,1,0,1,1,1,1.0
4,2023,4,16,1,97000,97000,0,0,1,1,0,1.0
7,2017,8,20,0,48166,2428,1,1,1,0,1,1.0
10,2022,12,21,1,1529000,798850,0,1,1,1,1,1.0
9,2023,8,23,1,930000,930000,1,0,1,1,1,1.0
5,2017,6,18,0,21500,1919,1,1,1,0,0,1.0
5,2017,8,18,0,24833,1556,1,0,1,0,0,1.0
10,2023,8,23,1,1900000,1900000,1,1,1,1,1,1.0
10,2023,6,20,1,1899000,1899000,0,1,1,1,1,1.0
5,2019,6,20,0,26000,1059,0,0,1,0,0,1.0
2,2018,4,16,0,8400,251,0,0,1,0,0,1.0
9,2023,8,23,1,930000,930000,1,0,1,1,1,1.0
4,2022,4,20,1,94000,1146,1,1,1,0,0,1.0
5,2018,6,17,0,23600,1160,1,1,1,0,0,1.0
9,2021,8,23,0,388500,777000,1,1,1,1,1,1.0
3,2018,6,18,0,12800,1364,1,0,1,1,0,1.0
5,2023,4,17,1,116000,116000,1,0,1,1,0,1.0
3,2018,6,18,0,13600,1401,1,0,1,1,0,1.0
8,2020,8,20,0,165000,7500,1,0,1,0,1,1.0
5,2017,6,18,0,20833,1275,1,1,1,0,1,1.0
2,2018,3,15,0,8400,204,0,0,1,0,1,1.0
5,2023,4,16,1,116000,116000,0,1,1,1,0,1.0
5,2017,4,18,0,21666,1485,0,0,1,0,1,1.0
3,2022,4,16,1,64000,64000,0,0,1,1,0,1.0
2,2008,6,17,0,2600,185,1,1,1,0,0,1.0
6,2016,8,21,0,25571,1420,0,0,1,0,1,1.0
5,2021,4,20,0,69500,2780,0,1,1,0,1,1.0
5,2014,8,22,0,16555,1520,1,1,1,0,1,1.0
7,2013,6,20,0,24300,3328,0,1,1,0,1,1.0
7,2023,8,17,1,243000,243000,1,1,1,1,1,1.0
8,2020,6,21,0,116666,28712,1,1,1,1,1,1.0
7,2021,6,20,0,130000,86666,1,0,1,1,1,1.0
4,2020,4,16,0,26333,1490,0,0,1,0,0,1.0
2,2016,6,17,0,6000,311,0,0,1,0,0,0.0
5,2017,8,18,0,18833,758,1,0,1,0,0,1.0
8,2022,8,21,1,399000,22166,1,1,1,1,1,1.0
7,2012,6,20,0,21363,3671,0,0,1,0,1,1.0
10,2022,8,22,1,1199000,109000,1,0,1,1,1,1.0
6,2021,6,18,0,89500,2712,1,1,1,0,1,0.0
4,2010,6,17,0,5692,1469,1,0,1,0,0,1.0
8,2022,6,19,1,389000,18093,1,1,1,1,1,1.0
5,2016,8,22,0,18428,1500,1,1,1,0,1,1.0
4,2018,6,20,0,14400,884,0,0,1,0,0,0.0
2,2016,4,17,0,5571,684,0,0,1,0,0,1.0
5,2014,8,22,0,13222,1472,1,1,1,0,1,1.0
4,2018,4,18,0,15600,331,0,0,1,0,0,1.0
5,2016,8,22,0,19714,1380,1,1,1,0,0,0.0
5,2018,4,16,0,25800,1000,1,0,1,0,1,1.0
9,2023,6,23,1,705000,705000,1,0,1,1,1,1.0
10,2022,12,22,1,1250000,446907,0,0,1,1,1,1.0
5,2022,4,19,1,110000,110000,1,0,1,1,0,1.0
4,2013,8,22,0,9900,1093,0,0,1,0,1,1.0
3,2022,4,16,1,55000,55000,0,0,1,1,0,1.0
4,2022,4,18,1,99000,99000,1,0,1,1,0,1.0
8,2020,8,20,0,128333,385000,1,0,1,1,0,1.0
3,2017,4,16,0,10666,441,0,0,1,0,0,1.0
5,2017,6,17,0,17333,4757,1,0,1,1,0,1.0
4,2016,6,17,0,13571,1238,1,1,1,0,0,1.0
7,2023,8,22,1,280000,280000,1,0,1,1,0,1.0
6,2018,8,21,0,33000,1833,1,1,1,0,0,0.0
5,2023,4,19,1,129000,43000,0,1,1,1,0,0.0
4,2017,6,20,0,14666,880,1,0,1,0,1,0.0
5,2017,6,20,0,20000,666,1,1,1,0,1,1.0
4,2023,4,18,1,81000,81000,1,0,1,1,0,1.0
5,2019,6,19,0,31250,1420,0,1,1,0,1,1.0
8,2023,6,23,1,456000,456000,1,0,1,1,1,1.0
2,2017,4,16,0,7000,206,0,1,1,0,0,1.0
4,2020,4,18,0,30000,90000,1,0,1,1,0,1.0
4,2016,4,18,0,11142,709,0,0,1,0,0,0.0
9,2020,8,20,0,175000,17500,1,1,1,1,1,1.0
8,2021,8,22,0,232500,465000,1,1,1,1,1,1.0
8,2020,8,20,0,130000,325000,1,1,1,1,0,1.0
6,2022,4,19,1,155000,15500,1,1,1,1,0,1.0
6,2017,6,20,0,25833,1462,1,1,1,0,1,1.0
10,2021,8,23,0,589999,84285,1,0,1,1,1,1.0
7,2023,4,19,1,238000,79333,0,1,1,1,0,1.0
8,2022,6,22,1,365000,365000,1,0,1,1,1,1.0
8,2022,6,20,1,389000,13321,1,1,1,1,1,1.0
3,2023,4,18,1,59000,59000,1,0,1,1,0,1.0
4,2016,6,17,0,10285,517,1,0,1,0,0,0.0
5,2014,8,22,0,14444,942,1,1,1,0,1,1.0
4,2018,6,17,0,16800,1145,1,1,1,0,0,1.0
6,2022,4,19,1,186000,186000,1,1,1,1,1,1.0
3,2017,4,17,0,9833,513,0,1,1,0,0,1.0
5,2015,8,20,0,14875,881,0,0,1,0,1,0.0
4,2013,8,22,0,7900,825,1,0,1,0,1,1.0
7,2021,8,20,0,114000,14250,1,1,1,1,0,0.0
6,2018,8,20,0,37000,1005,0,0,1,0,1,1.0
3,2016,6,18,0,9857,707,1,1,1,0,0,1.0
4,2019,8,17,0,22250,1348,0,0,1,0,0,1.0
10,2023,8,22,1,1148000,1148000,1,1,1,1,1,1.0
3,2023,4,17,1,67000,67000,1,0,1,1,0,1.0
4,2021,4,17,0,41000,2283,1,0,1,1,0,1.0
2,2013,8,20,0,4500,200,1,0,1,0,1,1.0
5,2014,8,20,0,13666,884,1,1,1,0,1,0.0
4,2020,4,16,0,24000,1058,0,0,1,0,0,1.0
10,2023,8,22,1,1098000,1098000,1,0,1,1,1,1.0
8,2021,8,21,0,175000,19957,1,0,1,1,1,1.0
4,2020,4,17,0,24666,884,1,1,1,0,0,1.0
4,2019,8,22,0,23750,2358,0,0,1,1,0,1.0
4,2016,4,20,0,14142,668,0,1,1,0,1,1.0
10,2021,12,21,0,999500,90863,1,0,1,1,1,1.0
7,2018,4,20,0,43800,5093,0,1,1,1,1,1.0
6,2016,8,21,0,28428,2287,0,1,1,0,1,1.0
2,2018,4,17,0,8800,423,1,0,1,0,0,0.0
9,2023,8,23,1,788000,788000,1,1,1,1,1,1.0
5,2022,5,17,1,109000,109000,0,1,1,1,0,1.0
6,2019,6,17,0,40250,2242,1,0,1,0,0,1.0
4,2018,4,17,0,18800,668,0,0,1,0,0,1.0
4,2020,6,17,0,26000,1282,1,0,1,0,0,1.0
3,2022,4,16,1,64000,64000,1,0,1,1,0,1.0
4,2018,4,17,0,16600,794,1,0,1,0,0,1.0
4,2016,4,17,0,12714,2081,0,1,1,1,0,1.0
3,2020,4,17,0,20000,980,1,0,1,0,0,1.0
6,2023,6,17,1,192000,192000,0,0,1,1,0,1.0
4,2022,4,16,1,85000,85000,1,0,1,1,0,1.0
9,2022,8,23,1,949000,949000,1,1,1,1,1,1.0
5,2019,8,21,0,27000,2250,0,1,1,1,0,1.0
6,2019,8,19,0,44500,1977,1,1,1,0,0,0.0
7,2018,8,18,0,51800,1786,0,1,1,0,1,1.0
2,2017,4,17,0,7666,376,0,1,1,0,0,1.0
8,2023,6,20,1,315000,315000,1,1,1,1,1,1.0
3,2016,4,17,0,7714,753,1,0,1,0,0,1.0
5,2023,6,18,1,108000,108000,1,0,1,1,0,1.0
6,2019,4,17,0,44250,3765,0,0,1,1,1,1.0
2,2019,4,17,0,12250,560,1,1,1,0,0,1.0
4,2016,4,17,0,13142,707,0,1,1,0,1,1.0
2,2017,4,17,0,7500,480,0,0,1,0,0,1.0
3,2020,4,17,0,21000,844,1,0,1,0,0,1.0
3,2019,4,17,0,14750,921,1,0,1,0,0,1.0
6,2023,4,17,1,155000,155000,0,1,1,1,0,0.0
8,2023,6,22,1,395000,395000,1,1,1,1,1,0.0
7,2019,6,21,0,62250,1979,1,1,1,0,1,1.0
9,2022,8,23,1,898000,898000,1,1,1,1,1,1.0
5,2020,4,17,0,38666,3549,1,0,1,1,0,1.0
5,2023,4,20,1,104000,104000,1,0,1,1,0,1.0
4,2019,4,17,0,18250,927,1,0,1,0,0,1.0
10,2020,8,21,0,406666,152786,0,1,1,1,1,1.0
7,2023,6,20,1,270000,25000,0,1,1,1,1,0.0
2,2016,4,17,0,6000,262,0,0,1,0,0,1.0
6,2022,4,19,1,167000,20875,0,0,1,1,1,1.0
2,2019,4,14,0,10500,461,0,0,1,0,0,1.0
10,2020,12,20,0,933333,800000,0,0,1,1,1,1.0
3,2020,4,17,0,21333,1514,1,0,1,1,0,1.0
6,2023,4,17,1,198000,198000,1,0,1,1,0,1.0
