link,title,article,кластер,emotion
https://www.d-kvadrat.ru/novosti/26312,Паравелогонщик из Удмуртии стал абсолютным чемпионом России по велоспорту на шоссе,"Он победил на соревнованиях, которые проходили в Ижевске. Об этом в своих социальных сетях сообщил Глава Удмуртии Александр Бречалов.  Сергей Пудов  паравелогонщик, победитель первенства страны по велоспорту на шоссе, которое в этом году проходило в Ижевске. Также на чемпионате две медали получил Арслан Гильмутдинов: в индивидуальной гонке  серебро и бронзу в групповой гонке.  Наши парни стали лучшими среди  велогонщиков из  регионов России!  отметил Александр Бречалов. Первенство прошло для спорстменов с поражением опорнодвигательного аппарата.",0,Позитивная
https://www.d-kvadrat.ru/novosti/25162,"Жительница Удмуртии спасла жизнь человека, став донором костного мозга"," марта Юлия Широбокова из села Шаркан получила медаль Федерального медикобиологического агентства За содействие донорскому движению. Она спасла жизнь пациента с тяжелой формой онкологии, став донором костного мозга. Об этом сообщает глава Удмуртии Александр Бречалов. В  году имя жительницы Шаркана Юлии Широбоковой внесли в регистр доноров костного мозга. Тогда она просто решила помочь ребенку, которому была необходима пересадка. Спустя несколько лет девушке сообщили, что ее клетки подошли мужчине, у которого диагностировали рак. Юлия отправилась в СанктПетербург, ее обследовали, после чего провели донацию. Врачи не сразу сообщают о том, как реципиент пережил пересадку. Доноры могут узнать об этом только спустя годы. Недавно мужчина, которому пересадили костный мозг Юлии, связался с ней. Так она узнала, что он идет на поправку.  марта жительницу Шаркана наградили медалью Федерального медикобиологического агентства За содействие донорскому движению. В России почти  тысяч человек ежегодно нуждаются в трансплантации костного мозга.  По словам Бречалова, Республиканская станция переливания крови подала  заявку на подключение к Федеральному регистру доноров костного мозга и стволовых клеток.  Скоро наши врачитрансфузиологи смогут брать кровь на исследование у жителей Удмуртии, желающих стать донорами костного мозга, отмечает глава региона.",0,Позитивная
https://www.d-kvadrat.ru/novosti/26284,Основам ведения бизнеса обучат самозанятых Удмуртии ,"Обучение проведет Мой бизнес Корпорации развития Удмуртии по нацпроекту Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы. Об этом сообщает прессслужба администрации главы и правительства Удмуртии.  Обучение будет проходить с  июня по  июля. Полезной информацией с участниками поделятся: эксперт по бизнеспланированию и маркетингу Андрей Атаев, юрист, бизнестренер, председатель регионального отделения Всероссийской общественной организации Женщины бизнеса Рауза Медянская, аудитор, директор аудиторской фирмы ИнновацияА, главный бухгалтер, налоговый консультант и эксперт по налогообложению ВЭД Юлия Сапожникова, предприниматель, бизнеснаставник для женщин, член Всероссийской общественной организации Женщины бизнеса Ирина Юнусова. Принять участие могут только самозанятые физические лица, без регистрации ИП. Для участия нужно зарегистрироваться на сайте.",0,Позитивная
https://www.d-kvadrat.ru/novosti/26539,Сергей Кирющенков выбран главой Киясовского района,"Сергей Алексеевич Кирющенков был избран главой Киясовского района Удмуртской Республики сегодня,  июня. Об этом сообщила прессслужба Правительства Удмуртии. Сергей Алексеевич, родившийся в  году, окончил Ижевскую государственную сельскохозяйственную академию по специализации Экономика и управление аграрным производством. Он имеет богатый опыт в сельском хозяйстве и управлении жилищнокоммунальным хозяйством. До этого Сергей Кирющенков занимал должность заместителя главы Администрации Балезинского района, отвечая за строительство и жилищнокоммунальное хозяйство.  Сергей Кирющенков приступит к исполнению своих обязанностей с  июля.  Напомним, в августе в Ижевске пройдёт конкурс на пост главы города.",0,Позитивная
https://www.d-kvadrat.ru/novosti/28542,Как и где отметят День удмуртского языка в Ижевске," ноября во всем мире отмечают День удмуртского языка. Впервые в праздничном календаре он появился в  году. Именно  ноября приняли закон О государственных языках Удмуртской Республики и иных языках народов Удмуртской Республики и этот день стал поистине важным праздником для удмуртов, берегущих свой родной язык.Об этом сообщил министр культуры УР Владимир Соловьев. Провести этот день интересно и увлекательно предлагают учреждения культуры:",0,Позитивная
https://www.d-kvadrat.ru/novosti/23905,В МЧС скорректировали список мест крещенских купаний в Удмуртии,"В Удмуртии отменили ныряние в проруби в селе Ягул. Об этом сообщает ГУ МЧС по УР. В Ягуле Завьяловского района отказались от оборудования купели, хотя ранее планировали это сделать.  Причина не называется. При этом к появились купели в селах Пихтовка и Кельчино Воткинского района. Всего в Удмуртии организовали  купелей. Актуальный список смотрите по ссылке ",0,Негативная
https://www.d-kvadrat.ru/novosti/23694,В Удмуртии задержали банду лжесотрудников «Ижводоканала»,"В Удмуртии полицейские пресекли деятельность аферистов, которые устанавливали доверчивым пенсионерам фильтры для воды по завышенной стоимости. Об этом сообщил прессцентр МВД России. Сотрудники Межрайонного отдела по борьбе с организованной преступностью Управления уголовного розыска МВД по Удмуртии задержали семеро подозреваемых в мошенничестве. Они обходили квартиры, предъявляли поддельные удостоверения и представлялись сотрудниками Ижводоканала, а после убеждали жителей, что им необходимы новые фильтры, так как вода в их кранах непригодна для питья. При этом была названа сильно завышенная стоимость фильтрующих элементов. Возбуждено шесть уголовных дел по признакам преступления, предусмотренного статьей  УК России Мошенничество. В ходе проверок изъяты кассовый аппарат, мобильные телефоны, ноутбуки, банковские карты, фильтры и фурнитура.  В настоящее время четверым фигурантам избрана мера пресечения в виде запрета определенных действий. Троим  подписка о невыезде и надлежащем поведении,  сообщила официальный представитель МВД России Ирина Волк. Напомним, опасный недострой на Толстого в Ижевске законсервировали.",0,Негативная
https://www.d-kvadrat.ru/novosti/23319,В Удмуртии завершается процесс централизации службы скорой помощи,"В  году централизацию Службы скорой помощи Удмуртии можно будет считать завершенной. Об этом сообщает ее главный врач Олег Прузан. Централизация службы скорой помощи подходит к концу. Она полностью завершится после присоединения Воткинского, Шарканского и северных районов Удмуртии. Это произойдет уже в  году. Как говорит Олег Прузан, централизация необходима для того, чтобы создать единое управление, единую диспетчерскую службу. Он подчеркивает, что все бригады, которые работают в республике, должны быть видимы. Это необходимо для того, чтобы можно было срочно направить бригаду на экстренный вызов.   Территориально все медицинские работники скорой помощи остаются в своих районах,  пояснил Олег Прузан. Напомним, автопарк службы скорой медицинской помощи Удмуртии на  состоит из новых машин, их возраст меньше пяти лет. Всего в республике работает  выездных бригад. В  году они выехали почти на  тысяч вызовов. На днях в автопарк прибыло еще  новых автомобилей. В  году ждут еще  машин.",0,Позитивная
https://www.d-kvadrat.ru/novosti/27546,"Форум ""Мой бизнес. Сделано в Удмуртии"" приглашает предпринимателей на День туризма"," сентября  года обещает быть насыщенным для предпринимателей в Удмуртской Республике благодаря проведению Дня туризма в рамках форума Мой бизнес. Сделано в Удмуртии. Генеральный продюсер      и   , Евгения Суфиянова, поделится своим опытом в организации успешных фестивалей.Об этом сообщило Агентство по туризму Удмуртской Республики. Для всех, кто интересуется развитием в сфере туризма и предпринимательства, форум предоставляет уникальную возможность узнать о том, как создать и успешно организовать мероприятия, способные привлечь внимание туристов и посетителей. Мероприятие состоится в Доме дружбы народов, по адресу ул. Орджоникидзе, а, и начнется в :. Приглашают как опытных предпринимателей, так и тех, кто только планирует вступить в мир предпринимательства.",0,Позитивная
https://www.d-kvadrat.ru/novosti/27168,В Дебесах появилось граффити «Герои Удмуртии»,"На здании Дебесского центра культурного развития появилась серия граффити Герои Удмуртии, посвященная выдающимся личностям региона. Под руками молодых талантливых художников Максима Серебренникова и Антона Ныркова, мурал оживился портретами удмуртских героев.Об этом сообщило Агентство по молодежной политике УР. Символизируя смелость, талант и вклад в историю региона, эти выдающиеся личности объединены в серии граффити, созданной в рамках фестиваля Герои Удмуртии. В этот удивительный проект вписывается даже живопись героев будничной жизни: врачей, военных, спасателей. Авторы эскиза, Максим и Антон, обладая художественным образованием и творческим потенциалом, смогли передать их яркие образы с уникальной точностью. Фестиваль Герои Удмуртии стал возможным благодаря победе Удмуртской Республики в конкурсе Регион для молодых, проводимом в рамках нацпроекта Образование. Проект был инициирован Президентом России Владимиром Путиным. Важность и значимость искусства граффити в создании культурной идентичности региона отмечаются на уровне государственных инициатив. Первое граффити из серии было представлено в День России: портрет баскетболиста Андрея Кириленко украсил стены Дворца детского и юношеского творчества в Ижевске. В ближайшее время артмастера начнут работу над следующими произведениями в Каракулинском районе.",0,Позитивная
https://www.d-kvadrat.ru/novosti/24829,С героически погибшим  рядовым Александром Пичугиным простятся в Сарапуле,"В ходе спецоперации героически погиб рядовой Александр Алексеевич Пичугин. Об этом сообщила прессслужба Сарапула. За мужество и героизм, которые Александр Пичугин проявил в ходе специальной военной операции на территории Украины, Указом Президента РФ его представили к ордену Мужества посмертно. Церемония прощания с погибшим пройдет  марта, в Покровском кафедральном соборе по адресу: ул. Интернациональная, а в  часов. Напомним, вчера,  марта, в Удмуртии похоронили двух бойцов: погибшего под Артемовском Бахмутом Андрея Анисимова из Балезино и Константина Кутянова из Увинского района.",0,Негативная
